### Table from https://cccbdb.nist.gov/hf0k.asp
Species,Name,Enthalpy,Reference,DOI
D,"Deuterium atom",219.8,Gurvich,
H,"Hydrogen atom",216.0,CODATA,10.1002/bbpc.19900940121
H+,"Hydrogen atom cation",1528.1,Gurvich,
D2,"Deuterium diatomic",0.0,JANAF,
H2,"Hydrogen diatomic",0.0,CODATA,10.1002/bbpc.19900940121
H2+,"Hydrogen cation",1488.4,webbook,10.18434/T4D303
HD,"Deuterium hydride",0.3,Gurvich,
Li,"Lithium atom",157.7,CODATA,10.1002/bbpc.19900940121
LiH,"Lithium Hydride",140.8,JANAF,
Be,"Beryllium atom",319.8,CODATA,10.1002/bbpc.19900940121
BeH,"beryllium monohydride",319.0,JANAF,
BeH2,"beryllium dihydride",127.2,JANAF,
B,"Boron atom",559.9,CODATA,10.1002/bbpc.19900940121
BH,"Boron monohydride",439.5,JANAF,
BH2,"boron dihydride",318.0,Gurvich,
BH3,"boron trihydride",91.9,Gurvich,
C,"Carbon atom",711.2,CODATA,10.1002/bbpc.19900940121
C+,"Carbon atom cation",1797.6,JANAF,
CH,Methylidyne,592.5,2005Rus/Bog:573,10.1063/1.1724828
CH+,"Methylidyne cation",1617.2,webbook,10.18434/T4D303
CH2,Methylene,390.7,2005Rus/Bog:573,10.1063/1.1724828
CH2,Methylene,428.3,2005Rus/Bog:573,10.1063/1.1724828
CH3,"Methyl radical",150.0,2005Rus/Bog:573,10.1063/1.1724828
CH4,Methane,-66.6,Gurvich,
N,"Nitrogen atom",470.8,CODATA,10.1002/bbpc.19900940121
NH,Imidogen,358.4,Gurvich,
ND2,Amidogen-d2,188.3,JANAF,
NH2,"Amino radical",189.1,2005Rus/Bog:573,10.1063/1.1724828
ND3,Ammonia-d3,-51.6,JANAF,
NH3,Ammonia,-38.9,CODATA,10.1002/bbpc.19900940121
O,"Oxygen atom",246.8,2006Rus/Pin:6592,10.1021/jp056311j
DO,Hydroxyl-d,36.9,Gurvich,
OH,"Hydroxyl radical",37.1,2006Rus/Pin:6592,10.1021/jp056311j
OH-,"hydroxide anion",-137.0,Gurvich,
OH+,"hydoxyl cation",1284.1,Gurvich,
D2O,"Deuterium oxide",-246.3,Gurvich,
H2O,Water,-238.9,2006Rus/Pin:6592,10.1021/jp056311j
HDO,Water-d1,-242.3,Gurvich,
F,"Fluorine atom",77.3,CODATA,10.1002/bbpc.19900940121
DF,"Hydrofluoric acid-d",-276.2,Gurvich,
HF,"Hydrogen fluoride",-273.3,CODATA,10.1002/bbpc.19900940121
Na,"Sodium atom",107.8,CODATA,10.1002/bbpc.19900940121
NaH,"sodium hydride",126.2,JANAF,
Mg,"Magnesium atom",145.9,CODATA,10.1002/bbpc.19900940121
MgH,"magnesium monohydride",230.3,Gurvich,
Al,"Aluminum atom",327.6,CODATA,10.1002/bbpc.19900940121
AlH,"aluminum monohydride",249.4,Gurvich,
AlH2,"aluminum dihydride",279.7,Gurvich,
AlH3,"aluminum trihydride",135.7,Gurvich,
Si,"Silicon atom",445.7,CODATA,10.1002/bbpc.19900940121
SiH,Silylidyne,366.9,Gurvich,
SiH2,"silicon dihydride",275.0,Gurvich,
SiH3,"Silyl radical",206.0,1991Set/Fen:1658,10.1021/j100157a030
SiH4,Silane,43.9,Gurvich,
P,"Phosphorus atom",315.7,CODATA,10.1002/bbpc.19900940121
PH,"phosphorus monohydride",254.5,JANAF,
PH2,"Phosphino radical",123.4,Gurvich,
PH3,Phosphine,13.4,JANAF,
S,"Sulfur atom",274.9,CODATA,10.1002/bbpc.19900940121
DS,Mercapto-d,137.9,JANAF,
HS,"Mercapto radical",140.0,Gurvich,
D2S,"Hydrogen sulfide-d2",-21.0,JANAF,
H2S,"Hydrogen sulfide",-17.7,CODATA,10.1002/bbpc.19900940121
Cl,"Chlorine atom",119.6,CODATA,10.1002/bbpc.19900940121
DCl,"Hydrochloric acid-d",-93.3,Gurvich,
HCl,"Hydrogen chloride",-92.1,CODATA,10.1002/bbpc.19900940121
K,"Potassium atom",89.9,CODATA,10.1002/bbpc.19900940121
Ca,"Calcium atom",177.3,CODATA,10.1002/bbpc.19900940121
Ti,"Titanium atom",470.0,CODATA,10.1002/bbpc.19900940121
Cu,"Copper atom",336.2,CODATA,10.1002/bbpc.19900940121
Zn,"Zinc atom",129.9,webbook,10.18434/T4D303
GeH4,Germane,101.2,1990Rus/Sch:1865,10.1063/1.458587
AsH,"Arsenic monohydride",233.5,1993Jor/Rob:215,10.1007/BF00224744
AsH2,"Arsenic dihydride",171.3,1993Jor/Rob:215,10.1007/BF00224744
AsH3,Arsine,73.9,1993Jor/Rob:215,10.1007/BF00224744
Se,"Selenium atom",235.4,2005Se,
Br,"Bromine atom",117.9,CODATA,10.1002/bbpc.19900940121
Br-,"Bromine atom anion",-206.8,Gurvich,
HBr,"hydrogen bromide",-28.4,CODATA,10.1002/bbpc.19900940121
I,"Iodine atom",107.2,CODATA,10.1002/bbpc.19900940121
HI,"Hydrogen iodide",28.7,CODATA,10.1002/bbpc.19900940121
Li2,"Lithium diatomic",215.5,JANAF,
Be2,"Beryllium diatomic",631.1,JANAF,
B2,"Boron diatomic",829.8,Gurvich,
B2H6,Diborane,52.4,Gurvich,
C2,"Carbon diatomic",822.4,Gurvich,
C2H,"Ethynyl radical",565.0,Gurvich,
C2H2,Acetylene,228.0,Gurvich,
C2H4,Ethylene,61.0,Gurvich,
C2H5,"Ethyl radical",131.8,1994Ber/Ell:2744,10.1021/j100062a009
C2H6,Ethane,-68.4,Gurvich,
BN,"boron nitride",560.7,Gurvich,
CN,"Cyano radical",437.0,Gurvich,
N2,"Nitrogen diatomic",0.0,CODATA,10.1002/bbpc.19900940121
HCN,"Hydrogen cyanide",132.4,Gurvich,
HNC,"hydrogen isocyanide",194.0,Gurvich,
N2H2,(E)-diazene,219.0,Gurvich,
N2H2,(Z)-Diazene,255.0,Gurvich,
CH2NH,Methanimine,91.2,webbook,10.18434/T4D303
N2H4,Hydrazine,109.3,Gurvich,
CH3NH2,"methyl amine",-7.8,TRC,
BeO,"beryllium oxide",134.0,JANAF,
BO,"boron monoxide",6.7,Gurvich,
CO,"Carbon monoxide",-113.8,CODATA,10.1002/bbpc.19900940121
LiO,"lithium oxide",84.1,JANAF,
NO,"Nitric oxide",90.5,2006Rus/Pin:6592,10.1021/jp056311j
O2,"Oxygen diatomic",0.0,CODATA,10.1002/bbpc.19900940121
BeOH,"beryllium monohydroxide",-100.0,Gurvich,
HBO,"Boron hydride oxide",-210.0,Gurvich,
HCO,"Formyl radical",41.6,Gurvich,
HNO,"Nitrosyl hydride",110.0,Gurvich,
HO2,"Hydroperoxy radical",15.2,2006Rus/Pin:6592,10.1021/jp056311j
LiOH,"lithium hydroxide",-227.1,1996Gur/Ber:1211,10.1063/1.555982
H2CO,Formaldehyde,-104.9,Gurvich,
H2O2,"Hydrogen peroxide",-129.7,2006Rus/Pin:6592,10.1021/jp056311j
CH2OH,"Hydroxymethyl radical",-10.7,2005Rus/Bog:573,10.1063/1.1724828
CH3O,"Methoxy radical",28.4,2005Rus/Bog:573,10.1063/1.1724828
NH2OH,hydroxylamine,-39.9,Gurvich,
CH3OH,"Methyl alcohol",-190.1,Gurvich,
BeF,"Beryllium monofluoride",-172.2,JANAF,
BF,"Boron monofluoride",-110.0,Gurvich,
CF,Fluoromethylidyne,251.6,JANAF,
F2,"Fluorine diatomic",0.0,CODATA,10.1002/bbpc.19900940121
FO,"Oxygen monofluoride",108.4,Gurvich,
LiF,"lithium fluoride",-340.6,JANAF,
NF,"nitrogen fluoride",233.0,Gurvich,
HCF,Fluoromethylene,105.0,Gurvich,
