# TA87 - Tielens & allamandola - 1987ASSL..134..397T
# Allen & robinson '77 - 10.1086/155059 - 10_1086_155059.pdf - The molecular composition of dense interstellar clouds
# TH82 - Model calculations of the molecular composition of interstellar grain mantles - Tielens, A. G. G. M.; Hagen, W.
# HH93 - New gas-grain chemical models of quiescent dense interstellar clouds - The effects of H2 tunnelling reactions and cosmic ray induced desorption - Hasegawa, Tatsuhiko I.; Herbst, Eric
# 10.1039/b922598f - 10_1039_b922598f.pdf - Interaction of CH4 and H2O in ice mixtures - Herrero, VÃ­ctor J.; GÃ¡lvez, Ã“scar; MatÃ©, BelÃ©n; Escribano, Rafael
# 10.1086/342607 - 10_1086_342607.pdf - Molecular Hydrogen Formation in the Interstellar Medium - Cazaux, S.; Tielens, A. G. G. M. - The Astrophysical Journal, Volume 575, Issue 1, pp. L29-L32. (ApJL Homepage)
# 10.1111/j.1365-2966.2006.11216.x - 10_1111_j_1365_2966_2006_11216_x.pdf - Mon. Not. R. Astron. Soc. 374, 1006â€“1014 (2007) - Fundamental data on the desorption of pure interstellar ices - Wendy A. Brownâ‹† and Amandeep S. Bolina
# 10.1086/428901 - 10_1086_428901.pdf - Competition between CO and N2 Desorption from Interstellar Ices - Ã–berg, K. I.; van Broekhuizen, F.; Fraser, H. J.; Bisschop, S. E.; van Dishoeck, E. F.; Schlemmer, S. - The Astrophysical Journal, Volume 621, Issue 1, pp. L33-L36. (ApJL Homepage)
# 10.1088/0004-637X/693/2/1209 - 10_1088_0004_637X_693_2_1209.pdf - Photodesorption of Ices. II. H2O and D2O - Ã–berg, Karin I.; Linnartz, Harold; Visser, Ruud; van Dishoeck, Ewine F. - The Astrophysical Journal, Volume 693, Issue 2, pp. 1209-1218 (2009). (ApJ Homepage) 
# 10.1051/0004-6361/200810207 - 10_1051_0004_6361_200810207.pdf - Photodesorption of ices I: CO, N2, and CO2 - Ã–berg, K. I.; van Dishoeck, E. F.; Linnartz, H. - Astronomy and Astrophysics, Volume 496, Issue 1, 2009, pp.281-293 (A&A Homepage)
# 10.1051/0004-6361/200912559 - 10_1051_0004_6361_200912559.pdf - Formation rates of complex organics in UV irradiated CH_3OH-rich ices. I. Experiments - Ã–berg, K. I.; Garrod, R. T.; van Dishoeck, E. F.; Linnartz, H.
# ED10 - Edridge, PhD Thesis (2010) EXP: SO2 on SO2
# YN83 - YN83.pdf - The chemical composition and thermal history of the ice of a cometary nucleus - Yamamoto, T.; Nakagawa, N.; Fukui, Y. - Astronomy and Astrophysics (ISSN 0004-6361), vol. 122, no. 1-2, June 1983, p. 171-176 - http://cdsads.u-strasbg.fr/abs/1983A%26A...122..171Y
# 10.1051/0004-6361:20065560 - 10_1051_0004_6361_20065560.pdf - A&A 457, 927â€“936 (2006) - Formation of methyl formate and other organic species in the warm-up phase of hot molecular cores - R. T. Garrod1 and E. Herbst1,2
# 10.1111/j.1365-2966.2004.08272.x - 10_1111_j_1365_2966_2004_08272_x.pdf - Collings, Mark P.; Anderson, Mark A.; Chen, Rui; Dever, John W.; Viti, Serena; Williams, David A.; McCoustra, Martin R. S. - laboratory survey of the thermal desorption of astrophysically relevant molecules
#spec      E_D(K)   mass
H             600.0   1 10.1086/342607   
H-            600.0   1 10.1086/342607   
H2            430.0   2 10.1051/0004-6361:20065560   
He            100.0   4 TH82   
C             800.0  12 TA87   
C-            800.0  12 TA87   
CH            925.0  13 10.1051/0004-6361:20065560   
CH2          1050.0  14 10.1051/0004-6361:20065560   
N             800.0  14 TA87   
CH3          1175.0  15 10.1051/0004-6361:20065560   
NH           2378.0  15 10.1051/0004-6361:20065560   
CH4          1090.0  16 10.1039/b922598f   
NH2          3956.0  16 10.1051/0004-6361:20065560   
O             800.0  16 TA87   
O-            800.0  16 TA87   
NH3          5534.0  17 10.1111/j.1365-2966.2004.08272.x
OH           2850.0  17 10.1051/0004-6361:20065560   
OH-          1260.0  17 10.1086/155059   
H2O          4800.0  18 10.1111/j.1365-2966.2006.11216.x   
Na          11800.0  23 HH93   
C2           1600.0  24 10.1051/0004-6361:20065560   
Mg           5300.0  24 HH93   
NaH         12250.0  24 10.1051/0004-6361:20065560   
C2H          2137.0  25 10.1051/0004-6361:20065560   
MgH          5750.0  25 10.1051/0004-6361:20065560   
C2H2         2587.0  26 10.1111/j.1365-2966.2004.08272.x
CN           1600.0  26 10.1051/0004-6361:20065560   
CN-          1510.0  26 HH93   
MgH2         6200.0  26 10.1051/0004-6361:20065560   
C2H3         3037.0  27 10.1051/0004-6361:20065560   
HCN          2050.0  27 10.1051/0004-6361:20065560   
HNC          2050.0  27 10.1051/0004-6361:20065560   
C2H4         3487.0  28 10.1051/0004-6361:20065560   
CHNH         3303.0  28 10.1051/0004-6361:20065560   
CNH2         2400.0  28 10.1051/0004-6361:20065560   
CO           1150.0  28 10.1111/j.1365-2966.2004.08272.x
H2CN         2400.0  28 10.1051/0004-6361:20065560   
N2            790.0  28 10.1086/428901   
Si           2700.0  28 HH93   
C2H5         3937.0  29 10.1051/0004-6361:20065560   
CH2NH        3428.0  29 10.1051/0004-6361:20065560   
CH3N         2850.0  29 10.1051/0004-6361:20065560   
CHNH2        4881.0  29 10.1051/0004-6361:20065560   
HCO          1600.0  29 10.1051/0004-6361:20065560   
HOC          3650.0  29 10.1051/0004-6361:20065560   
N2H          1450.0  29 10.1051/0004-6361:20065560   
SiH          3150.0  29 10.1051/0004-6361:20065560   
C2H6         2300.0  30 10.1051/0004-6361/200912559   
CH2NH2       5006.0  30 10.1051/0004-6361:20065560   
CH3NH        3553.0  30 10.1051/0004-6361:20065560   
CHOH         4634.0  30 10.1051/0004-6361:20065560   
H2CO         2050.0  30 10.1051/0004-6361:20065560   
HOCH         1910.0  30 HH93   
N2H2         4756.0  30 10.1051/0004-6361:20065560   
NO           1600.0  30 10.1051/0004-6361:20065560   
SiH2         3600.0  30 10.1051/0004-6361:20065560   
CH2OH        5084.0  31 10.1051/0004-6361:20065560   
CH3O         5080.0  31 10.1051/0004-6361:20065560   
CH5N         6584.0  31 10.1051/0004-6361:20065560   
HNO          2050.0  31 10.1051/0004-6361:20065560   
HON          3650.0  31 10.1051/0004-6361:20065560   
SiH3         4050.0  31 10.1051/0004-6361:20065560   
CH3OH        4930.0  32 10.1111/j.1365-2966.2006.11216.x   
NH2OH        6806.0  32 10.1051/0004-6361:20065560   
O2           1000.0  32 10.1051/0004-6361:20065560   
S            1100.0  32 TA87   
S-           1100.0  32 TA87   
SiH4         4500.0  32 10.1051/0004-6361:20065560   
HS           1500.0  33 HH93   
O2H          3650.0  33 10.1051/0004-6361:20065560   
H2O2         5700.0  34 10.1051/0004-6361:20065560   
H2S          2743.0  34 10.1111/j.1365-2966.2004.08272.x
Cl            850.0  35 # no reference? 
C3           2400.0  36 10.1051/0004-6361:20065560   
HCl           900.0  36 # no reference? 
C3H          2937.0  37 10.1051/0004-6361:20065560   
C2N          2400.0  38 10.1051/0004-6361:20065560   
C3H2         3387.0  38 10.1051/0004-6361:20065560   
H2CCC        2110.0  38 HH93   
C3H3         3837.0  39 10.1051/0004-6361:20065560   
HCCN         3780.0  39 10.1051/0004-6361:20065560   
C2O          1950.0  40 10.1051/0004-6361:20065560   
C3H4         4287.0  40 10.1051/0004-6361:20065560   
CH2CN        4230.0  40 10.1051/0004-6361:20065560   
CH3CCH       2470.0  40 HH93   
NaOH        14650.0  40 10.1051/0004-6361:20065560   
SiC          3500.0  40 10.1051/0004-6361:20065560   
C3H5         4737.0  41 10.1051/0004-6361:20065560   
CH3CN        4680.0  41 10.1111/j.1365-2966.2004.08272.x
HC2O         2400.0  41 10.1051/0004-6361:20065560   
HCSi         1050.0  41 # no reference? 
C3H6         5187.0  42 10.1051/0004-6361:20065560   
CH2CO        2200.0  42 10.1051/0004-6361:20065560   
NH2CN        1200.0  42 10.1086/155059   
OCN          2400.0  42 10.1051/0004-6361:20065560   
SiCH2        1100.0  42 # no reference? 
SiN          3500.0  42 10.1051/0004-6361:20065560   
C3H7         5637.0  43 10.1051/0004-6361:20065560   
HNCO         2850.0  43 10.1051/0004-6361:20065560   
HNSi         1100.0  43 # no reference? 
SiCH3        1150.0  43 # no reference? 
C3H8         6087.0  44 10.1051/0004-6361:20065560   
CH3CHO       3800.0  44 10.1051/0004-6361/200912559   
CO2          2990.0  44 ED10   
CS           1900.0  44 10.1051/0004-6361:20065560   
N2O          2400.0  44 10.1051/0004-6361:20065560   
SiO          3500.0  44 HH93   
HCS          2350.0  45 10.1051/0004-6361:20065560   
NH2CHO       5556.0  45 10.1051/0004-6361:20065560   
NHNO         2850.0  45 10.1051/0004-6361:20065560   
C2H5OH       5200.0  46 10.1051/0004-6361/200912559   
